,year,month,temp
507,1970,3月,7.4
508,1971,3月,8.8
509,1972,3月,7.8
510,1973,3月,7.0
511,1974,3月,7.4
512,1975,3月,7.9
513,1976,3月,8.7
514,1977,3月,7.6
515,1978,3月,8.0
516,1979,3月,7.3
517,1980,3月,8.3
518,1981,3月,8.6
519,1982,3月,7.8
520,1983,3月,5.1
521,1984,3月,8.5
522,1985,3月,7.6
523,1986,3月,8.2
524,1987,3月,7.3
525,1988,3月,8.2
526,1989,3月,9.3
527,1990,3月,9.4
528,1991,3月,9.7
529,1992,3月,7.6
530,1993,3月,7.1
531,1994,3月,8.6
532,1995,3月,7.7
533,1996,3月,9.3
534,1997,3月,9.7
535,1998,3月,9.9
536,1999,3月,7.5
537,2000,3月,8.6
538,2001,3月,10.3
539,2002,3月,7.3
540,2003,3月,9.1
541,2004,3月,7.7
542,2005,3月,7.5
543,2006,3月,8.6
544,2007,3月,9.6
545,2008,3月,8.8
546,2009,3月,8.5
547,2010,3月,6.8
548,2011,3月,8.3
549,2012,3月,9.7
550,2013,3月,9.0
551,2014,3月,9.4
552,2015,3月,9.9
553,2016,3月,8.2
554,2017,3月,10.9
555,2018,3月,9.6
